fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-04,9846,9846,174.7
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-05,9846,9846,175.1
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-06,9839,9839,173.14
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-07,9828,9828,172.39
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-11,9794,9794,171.58
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-12,9780,9780,171.19
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-13,9775,9775,170.72
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-14,9777,9777,170.93
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-17,9755,9755,171.3
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-18,9752,9752,171.01
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-19,9747,9747,170.69
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-20,9727,9727,170.34
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-21,9701,9701,169.48
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-24,9678,9678,169.17
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-25,9703,9703,171.28
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-26,9714,9714,170.01
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-27,9758,9758,169.96
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-28,9780,9780,170.03
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-31,9793,9793,170.27
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-01,9771,9771,169.79
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-02,9762,9762,174.02
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-04,9740,9740,173.9
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-07,9735,9735,171.06
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-08,9721,9721,170.41
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-09,9758,9758,171.35
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-10,9761,9761,171.09
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-11,9802,9802,171.64
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-14,9776,9776,171.49
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-15,9790,9790,171.64
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-16,9794,9794,172.53
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-17,9808,9808,172.84
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-18,9797,9797,172.6
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-21,9789,9789,172.48
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-22,9787,9787,172.83
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-24,9789,9789,172.73
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-25,9765,9765,174.27
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-28,9761,9761,173.23
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-29,9742,9742,172.7
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-11-30,9745,9745,172.41
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-01,9752,9752,172.55
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-02,9759,9759,177.21
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-05,9754,9754,177.67
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-06,9745,9745,174.45
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-07,9757,9757,174.08
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-08,9768,9768,174.11
