fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-26,12813,12813,677.58
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-27,12851,12851,680.99
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-28,12929,12929,685.94
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-29,12946,12946,686.8
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-02,12907,12907,684.76
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-03,12739,12739,677.29
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-04,12586,12586,679.05
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-05,12707,12707,687.08
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-06,12715,12715,688.75
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-09,12798,12798,694.64
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-10,12771,12771,694.24
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-11,12771,12771,697.45
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-12,12793,12793,700.82
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-13,13027,13027,716.77
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-16,13025,13025,717.86
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-17,13152,13152,728.71
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-18,13137,13137,730.56
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-19,13149,13149,732.78
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-20,13159,13159,733.63
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-23,13213,13213,737.92
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-24,13233,13233,740.97
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-25,13221,13221,742.43
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-26,13251,13251,745.6
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-27,13319,13319,749.4
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-12-30,13335,13335,750.31
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-06,13137,13137,742.23
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-07,13207,13207,747.57
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-08,13109,13109,753.86
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-09,13319,13319,767.95
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-10,13436,13436,776.95
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-14,13557,13557,786.18
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-15,13528,13528,786.46
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-16,13558,13558,793.35
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-17,13691,13691,803.52
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-20,13725,13725,807.53
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-21,13729,13729,809.01
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-22,13649,13649,804.3
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-23,13632,13632,812.17
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-24,13595,13595,812.63
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-27,13460,13460,806.09
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-28,13210,13210,792.54
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-29,13354,13354,803.77
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-30,13343,13343,804.36
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-01-31,13350,13350,805.63
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-03,13092,13092,791.33
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-04,13167,13167,797.09
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-05,13470,13470,826.05
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-06,13643,13643,838.38
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-07,13703,13703,843.92
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-10,13596,13596,838.62
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-12,13737,13737,848.55
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-13,13822,13822,856.53
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-14,13800,13800,856.9
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-17,13807,13807,859.13
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-18,13820,13820,863.56
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-19,13780,13780,861.07
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-20,14029,14029,880.92
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-21,14067,14067,883.81
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-25,13349,13349,840.49
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-26,12931,12931,815.52
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-27,12883,12883,816.58
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-02-28,12301,12301,783.42
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-02,11920,11920,760.47
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-03,12397,12397,791.39
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-04,12104,12104,786.17
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-05,12510,12510,818.14
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-06,12051,12051,791.69
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-09,11337,11337,747.88
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-10,10600,10600,701.67
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-11,11106,11106,736.62
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-12,10630,10630,707.4
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-13,9597,9597,641.37
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-16,10449,10449,701.64
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-17,9349,9349,630.4
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-18,9839,9839,676.38
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-19,9433,9433,652.32
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-23,9404,9404,655.11
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-24,9110,9110,637.43
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-25,9988,9988,704.82
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-26,10176,10176,722.68
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-27,10547,10547,755.05
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-30,10083,10083,724.71
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-03-31,10452,10452,753.94
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-01,10278,10278,743.65
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-02,9846,9846,714.26
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-03,10054,10054,741.64
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-06,9985,9985,738.19
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-07,10612,10612,785.89
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-08,10626,10626,789.26
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-09,10935,10935,814.76
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-10,11073,11073,827.02
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-13,11037,11037,826.89
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-14,10904,10904,816.9
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-15,11131,11131,833.93
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-16,10893,10893,827.39
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-17,10972,10972,835.95
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-20,11259,11259,859.88
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-21,11110,11110,849.99
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-22,10764,10764,826.38
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-23,10983,10983,844.8
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-24,10987,10987,846.15
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-27,11075,11075,854.4
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-28,11234,11234,867.71
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-04-30,11475,11475,890.18
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-01,11393,11393,886.1
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-07,11038,11038,860.98
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-08,11197,11197,886.55
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-11,11424,11424,909.71
